bvid,page,title,tags,song_name,vocal_singer
BV1ks411d7kH,1,【IA】女孩再见，有缘再会吧,"引退ではない,石风吕,IA","女孩再见,有缘再会吧",IA
BV1Lo4y1Q7jg,1,【IA OFFICIAL】ARIAers TV (July)来听HIPPI给大家的留言！IA&amp;ONE快问快答50问！,"IA小天使,虚拟偶像,2021虚拟歌手创作赛·调校赛道,IA,HIPPI,虚拟up主,V家,Vocaloid,VTUBER",ARIAers TV (July)来听HIPPI给大家的留言!IA&amp;ONE快问快答50问!,IA OFFICIAL
BV1TF411s7je,1,ユラ / feat.初音ミク ＆ IA,"初音MIKU,初音,自制,MIKU",ユラ / & IA,IA
BV1es411o7JE,1,中文字幕 MIKU·GUMI·IA《Poker Face》嗯？看我偷偷卖个萌~,"初音MIKU,VOCALOID,IA,全程卖萌,中文字幕,GUMI",中文字幕 MIKU·GUMI·IA《Poker Face》嗯?看我偷偷卖个萌~,IA
BV1v54y147xn,1,【IA】LOUDER,"BangDream,IA,翻唱,Roselia",LOUDER,IA
BV1Gt411K7zH,1,为爱疯狂(愛に狂う) / たべっこ feat.初音ミク&amp;IA (Music Video),"IA,はなけん,VOCAROCK,たべっこ,日本,初音MIKU,rayn,しとお",为爱疯狂(愛に狂う) / たべっこ (Music Video),IA
BV1Ms411i7wA,1,[IA] 六兆年的一夜物语,"IA,六兆年と一夜物语,演唱会现场版",[IA] 六兆年的一夜物语,IA
BV1Gx411U7S9,1,Guiano - レイニー (feat.IA),"VOCALOID,GUIANO,IA",Guiano - レイニー (,IA
BV1yd4y1S7Z2,1,【IA】One Last Kiss,"虚拟歌手,日语,日文翻唱,伊爱,IA,EVA,VOCALOID,One Last Kiss,新世纪福音战士",One Last Kiss,IA
BV1cs411f7ju,1,【綿飴/feat.IA】钢铁之鸟,"乙ちび,反战,HAZFIRST,绵饴,VOCALOID,IA,钢铁ノ鸟,季节P",钢铁之鸟,IA
BV1yK41137bk,1,【IA OFFICIAL】pray for real新专全曲试听 | IA (高清PV),"1st place,IA,V家,日语,PV",pray for real新专全曲试听 | IA (高清PV),IA OFFICIAL
BV1EFSDBFEHk,1,「のにのに」feat.IA,"搞笑,日本,VOCALOID,のにのに,YouTube,ボカロ",「のにのに」feat.IA,IA
BV1tR4y1V7hg,1,加害者/feat.IA,"MIKU,VOCALOIDCHINA,自制,初音,歌曲,初音MIKU",加害者,IA
BV1fZ4y1P7gF,1,【IA OFFICIAL】IA五周年&amp;ONE二周年舞台表演 AR Live Showcase,"演唱会,AR演唱会,IA OFFICIAL,イア,IA,オネ,ONE",IA五周年&amp;ONE二周年舞台表演 AR Live Showcase,IA OFFICIAL
BV1ex411w7dp,1,油库里演唱六兆年と一夜物語,"VOCALOID,油库里,ゆっくり,UTAU,IA",油库里演唱六兆年と一夜物語,IA
